,player,team,gp,gaa,sv%,w,l,t,so,toi,svs,ga,link,season,league
0,Curtis McElhinney,Toronto Maple Leafs,18,2.14,.934,11,5,1,3,979,493,35,https://www.eliteprospects.com/player/11433/curtis-mcelhinney,2017-2016,nhl
1,Carter Hutton,St. Louis Blues,32,2.09,.931,17,7,3,3,1610,754,56,https://www.eliteprospects.com/player/24819/carter-hutton,2017-2016,nhl
2,Antti Raanta,Arizona Coyotes,47,2.24,.930,21,17,6,3,2599,1291,97,https://www.eliteprospects.com/player/17016/antti-raanta,2017-2016,nhl
3,Corey Crawford,Chicago Blackhawks,28,2.27,.929,16,9,2,2,1584,782,60,https://www.eliteprospects.com/player/11347/corey-crawford,2017-2016,nhl
4,Roberto Luongo,Florida Panthers,35,2.47,.929,18,11,2,3,1966,1062,81,https://www.eliteprospects.com/player/8546/roberto-luongo,2017-2016,nhl
5,Ryan Miller,Anaheim Ducks,28,2.35,.928,12,6,6,4,1353,686,53,https://www.eliteprospects.com/player/8802/ryan-miller,2017-2016,nhl
6,Marc-André Fleury,Vegas Golden Knights,46,2.24,.927,29,13,4,4,2673,1276,100,https://www.eliteprospects.com/player/3655/marc-andre-fleury,2017-2016,nhl
7,Pekka Rinne,Nashville Predators,59,2.31,.927,42,13,4,8,3475,1706,134,https://www.eliteprospects.com/player/4282/pekka-rinne,2017-2016,nhl
8,John Gibson,Anaheim Ducks,60,2.43,.926,31,18,7,4,3428,1733,139,https://www.eliteprospects.com/player/45399/john-gibson,2017-2016,nhl
9,Juuse Saros,Nashville Predators,26,2.45,.925,11,5,7,3,1497,749,61,https://www.eliteprospects.com/player/50744/juuse-saros,2017-2016,nhl
10,Connor Hellebuyck,Winnipeg Jets,67,2.36,.924,44,11,9,6,3966,1892,156,https://www.eliteprospects.com/player/142796/connor-hellebuyck,2017-2016,nhl
11,Philipp Grubauer,Washington Capitals,35,2.35,.923,15,10,3,3,1865,880,73,https://www.eliteprospects.com/player/17632/philipp-grubauer,2017-2016,nhl
12,Jonathan Quick,Los Angeles Kings,64,2.40,.921,33,28,3,5,3677,1720,147,https://www.eliteprospects.com/player/11798/jonathan-quick,2017-2016,nhl
13,Casey DeSmith,Pittsburgh Penguins,14,2.40,.921,6,4,1,1,700,328,28,https://www.eliteprospects.com/player/45724/casey-desmith,2017-2016,nhl
14,Sergei Bobrovski,Columbus Blue Jackets,65,2.42,.921,37,22,6,5,3912,1835,158,https://www.eliteprospects.com/player/14590/sergei-bobrovski,2017-2016,nhl
15,Darcy Kuemper,totals,29,2.52,.920,12,7,5,4,1596,766,67,https://www.eliteprospects.com/player/23162/darcy-kuemper,2017-2016,nhl
16,Andrei Vasilevsky,Tampa Bay Lightning,65,2.62,.920,44,17,3,8,3825,1908,167,https://www.eliteprospects.com/player/70424/andrei-vasilevsky,2017-2016,nhl
17,Semyon Varlamov,Colorado Avalanche,51,2.68,.920,24,16,6,2,2861,1467,128,https://www.eliteprospects.com/player/9308/semyon-varlamov,2017-2016,nhl
18,Devan Dubnyk,Minnesota Wild,60,2.52,.918,35,16,7,5,3450,1624,145,https://www.eliteprospects.com/player/9201/devan-dubnyk,2017-2016,nhl
19,Frederik Andersen,Toronto Maple Leafs,66,2.81,.918,38,21,5,5,3889,2029,182,https://www.eliteprospects.com/player/15205/frederik-andersen,2017-2016,nhl
20,Alexandar Georgiyev,New York Rangers,10,3.15,.918,4,4,1,0,515,304,27,https://www.eliteprospects.com/player/262640/alexandar-georgiyev,2017-2016,nhl
21,Tuukka Rask,Boston Bruins,54,2.36,.917,34,14,5,3,3173,1388,125,https://www.eliteprospects.com/player/4217/tuukka-rask,2017-2016,nhl
22,Ben Bishop,Dallas Stars,53,2.49,.916,26,17,5,5,2887,1317,120,https://www.eliteprospects.com/player/11797/ben-bishop,2017-2016,nhl
23,Mike Smith,Calgary Flames,55,2.65,.916,25,22,6,3,3191,1545,141,https://www.eliteprospects.com/player/10173/mike-smith,2017-2016,nhl
24,Martin Jones,San Jose Sharks,60,2.55,.915,30,22,6,4,3416,1554,145,https://www.eliteprospects.com/player/11709/martin-jones,2017-2016,nhl
25,Michal Neuvirth,Philadelphia Flyers,22,2.60,.915,9,7,3,1,1039,485,45,https://www.eliteprospects.com/player/9279/michal-neuvirth,2017-2016,nhl
26,Henrik Lundqvist,New York Rangers,63,2.98,.915,26,26,7,2,3503,1862,174,https://www.eliteprospects.com/player/286/henrik-lundqvist,2017-2016,nhl
27,Aaron Dell,San Jose Sharks,29,2.64,.914,15,5,4,2,1522,708,67,https://www.eliteprospects.com/player/25790/aaron-dell,2017-2016,nhl
28,Anton Khudobin,Boston Bruins,31,2.56,.913,16,6,7,1,1781,800,76,https://www.eliteprospects.com/player/9265/anton-khudobin,2017-2016,nhl
29,Keith Kinkaid,New Jersey Devils,41,2.77,.913,26,10,3,1,2298,1108,106,https://www.eliteprospects.com/player/14384/keith-kinkaid,2017-2016,nhl
30,Jonathan Bernier,Colorado Avalanche,37,2.85,.913,19,13,3,2,2001,997,95,https://www.eliteprospects.com/player/9330/jonathan-bernier,2017-2016,nhl
31,James Reimer,Florida Panthers,44,2.99,.913,22,14,6,4,2411,1253,120,https://www.eliteprospects.com/player/11538/james-reimer,2017-2016,nhl
32,Kari Lehtonen,Dallas Stars,37,2.56,.912,15,14,3,1,1944,863,83,https://www.eliteprospects.com/player/2694/kari-lehtonen,2017-2016,nhl
33,Jacob Markström,Vancouver Canucks,60,2.71,.912,23,26,7,2,3414,1591,154,https://www.eliteprospects.com/player/9787/jacob-markstrom,2017-2016,nhl
34,Antti Niemi,totals,24,3.12,.911,7,9,4,1,1213,647,63,https://www.eliteprospects.com/player/7566/antti-niemi,2017-2016,nhl
35,Malcolm Subban,Vegas Golden Knights,22,2.68,.910,13,4,2,0,1230,559,55,https://www.eliteprospects.com/player/59221/malcolm-subban,2017-2016,nhl
36,Jimmy Howard,Detroit Red Wings,60,2.85,.910,22,27,9,1,3368,1610,160,https://www.eliteprospects.com/player/9058/jimmy-howard,2017-2016,nhl
37,Alex Stalock,Minnesota Wild,28,2.85,.910,10,10,4,1,1495,716,71,https://www.eliteprospects.com/player/11796/alex-stalock,2017-2016,nhl
38,Ondrej Pavelec,New York Rangers,19,3.05,.910,4,9,1,1,904,464,46,https://www.eliteprospects.com/player/9626/ondrej-pavelec,2017-2016,nhl
39,Brian Elliott,Philadelphia Flyers,43,2.66,.909,23,11,7,1,2522,1116,112,https://www.eliteprospects.com/player/11336/brian-elliott,2017-2016,nhl
40,Tristan Jarry,Pittsburgh Penguins,26,2.77,.908,14,6,2,2,1364,624,63,https://www.eliteprospects.com/player/88602/tristan-jarry,2017-2016,nhl
41,Anton Forsberg,Chicago Blackhawks,35,2.97,.908,10,16,4,0,1715,836,85,https://www.eliteprospects.com/player/15830/anton-forsberg,2017-2016,nhl
42,Robin Lehner,Buffalo Sabres,53,3.01,.908,14,26,9,3,2852,1417,143,https://www.eliteprospects.com/player/9796/robin-lehner,2017-2016,nhl
43,Cam Talbot,Edmonton Oilers,67,3.02,.908,31,31,3,1,3730,1848,188,https://www.eliteprospects.com/player/33246/cam-talbot,2017-2016,nhl
44,Charlie Lindgren,Montréal Canadiens,14,3.03,.908,4,8,2,2,833,415,42,https://www.eliteprospects.com/player/122640/charlie-lindgren,2017-2016,nhl
45,Jaroslav Halák,New York Islanders,54,3.19,.908,20,26,6,1,3024,1583,161,https://www.eliteprospects.com/player/9648/jaroslav-halak,2017-2016,nhl
46,Matt Murray,Pittsburgh Penguins,49,2.92,.907,27,16,3,1,2733,1290,133,https://www.eliteprospects.com/player/91683/matt-murray,2017-2016,nhl
47,Cory Schneider,New Jersey Devils,40,2.93,.907,17,16,6,1,2332,1114,114,https://www.eliteprospects.com/player/9203/cory-schneider,2017-2016,nhl
48,Braden Holtby,Washington Capitals,54,2.99,.907,34,16,4,0,3068,1495,153,https://www.eliteprospects.com/player/11394/braden-holtby,2017-2016,nhl
49,Cam Ward,Carolina Hurricanes,43,2.73,.906,23,14,4,2,2459,1075,112,https://www.eliteprospects.com/player/8806/cam-ward,2017-2016,nhl
50,Jake Allen,St. Louis Blues,59,2.75,.906,27,25,3,1,3317,1462,152,https://www.eliteprospects.com/player/17522/jake-allen,2017-2016,nhl
51,Steve Mason,Winnipeg Jets,13,3.24,.906,5,6,1,1,685,355,37,https://www.eliteprospects.com/player/10428/steve-mason,2017-2016,nhl
52,Alex Lyon,Philadelphia Flyers,11,2.75,.905,4,2,1,0,480,210,22,https://www.eliteprospects.com/player/114768/alex-lyon,2017-2016,nhl
