,player,team,gp,g,a,tp,ppg,pim,+/-,link,season,league,playername,position
0,Jamie Benn (LW),Dallas Stars,82,35,52,87,1.06,64,1,https://www.eliteprospects.com/player/15399/jamie-benn,2014-2013,nhl,Jamie Benn ,LW
1,John Tavares (C),New York Islanders,82,38,48,86,1.05,46,5,https://www.eliteprospects.com/player/9223/john-tavares,2014-2013,nhl,John Tavares ,C
2,Sidney Crosby (C),Pittsburgh Penguins,77,28,56,84,1.09,47,5,https://www.eliteprospects.com/player/6146/sidney-crosby,2014-2013,nhl,Sidney Crosby ,C
3,Alexander Ovechkin (LW),Washington Capitals,81,53,28,81,1.00,58,10,https://www.eliteprospects.com/player/4230/alexander-ovechkin,2014-2013,nhl,Alexander Ovechkin ,LW
4,Jakub Voracek (RW),Philadelphia Flyers,82,22,59,81,0.99,78,1,https://www.eliteprospects.com/player/9285/jakub-voracek,2014-2013,nhl,Jakub Voracek ,RW
5,Nicklas Bäckström (C),Washington Capitals,82,18,60,78,0.95,40,5,https://www.eliteprospects.com/player/3682/nicklas-backstrom,2014-2013,nhl,Nicklas Bäckström ,C
6,Tyler Seguin (C/RW),Dallas Stars,71,37,40,77,1.09,20,-1,https://www.eliteprospects.com/player/23807/tyler-seguin,2014-2013,nhl,Tyler Seguin ,C/RW
7,Jiri Hudler (LW),Calgary Flames,78,31,45,76,0.97,14,17,https://www.eliteprospects.com/player/6665/jiri-hudler,2014-2013,nhl,Jiri Hudler ,LW
8,Daniel Sedin (LW),Vancouver Canucks,82,20,56,76,0.93,18,5,https://www.eliteprospects.com/player/737/daniel-sedin,2014-2013,nhl,Daniel Sedin ,LW
9,Vladimir Tarasenko (RW),St. Louis Blues,77,37,36,73,0.95,31,27,https://www.eliteprospects.com/player/24787/vladimir-tarasenko,2014-2013,nhl,Vladimir Tarasenko ,RW
10,Nick Foligno (LW/RW),Columbus Blue Jackets,79,31,42,73,0.92,50,16,https://www.eliteprospects.com/player/10675/nick-foligno,2014-2013,nhl,Nick Foligno ,LW/RW
11,Claude Giroux (W/C),Philadelphia Flyers,81,25,48,73,0.90,36,-3,https://www.eliteprospects.com/player/10437/claude-giroux,2014-2013,nhl,Claude Giroux ,W/C
12,Henrik Sedin (C),Vancouver Canucks,82,18,55,73,0.89,22,11,https://www.eliteprospects.com/player/738/henrik-sedin,2014-2013,nhl,Henrik Sedin ,C
13,Steven Stamkos (C/W),Tampa Bay Lightning,82,43,29,72,0.88,49,2,https://www.eliteprospects.com/player/11113/steven-stamkos,2014-2013,nhl,Steven Stamkos ,C/W
14,Tyler Johnson (C),Tampa Bay Lightning,77,29,43,72,0.94,24,33,https://www.eliteprospects.com/player/12078/tyler-johnson,2014-2013,nhl,Tyler Johnson ,C
15,Ryan Johansen (C),Columbus Blue Jackets,82,26,45,71,0.87,40,-6,https://www.eliteprospects.com/player/45512/ryan-johansen,2014-2013,nhl,Ryan Johansen ,C
16,Joe Pavelski (C/RW),San Jose Sharks,82,37,33,70,0.85,29,12,https://www.eliteprospects.com/player/10372/joe-pavelski,2014-2013,nhl,Joe Pavelski ,C/RW
17,Yevgeni Malkin (C),Pittsburgh Penguins,69,28,42,70,1.01,60,-2,https://www.eliteprospects.com/player/4231/yevgeni-malkin,2014-2013,nhl,Yevgeni Malkin ,C
18,Ryan Getzlaf (C),Anaheim Ducks,77,25,45,70,0.91,62,15,https://www.eliteprospects.com/player/8526/ryan-getzlaf,2014-2013,nhl,Ryan Getzlaf ,C
19,Rick Nash (LW/RW),New York Rangers,79,42,27,69,0.87,36,29,https://www.eliteprospects.com/player/3658/rick-nash,2014-2013,nhl,Rick Nash ,LW/RW
20,Max Pacioretty (LW),Montréal Canadiens,80,37,30,67,0.84,32,38,https://www.eliteprospects.com/player/12461/max-pacioretty,2014-2013,nhl,Max Pacioretty ,LW
21,Logan Couture (C),San Jose Sharks,82,27,40,67,0.82,12,-6,https://www.eliteprospects.com/player/11109/logan-couture,2014-2013,nhl,Logan Couture ,C
22,Jonathan Toews (C),Chicago Blackhawks,81,28,38,66,0.82,36,30,https://www.eliteprospects.com/player/8792/jonathan-toews,2014-2013,nhl,Jonathan Toews ,C
23,Erik Karlsson (D),Ottawa Senators,82,21,45,66,0.81,42,7,https://www.eliteprospects.com/player/9878/erik-karlsson,2014-2013,nhl,Erik Karlsson ,D
24,Henrik Zetterberg (C),Detroit Red Wings,77,17,49,66,0.86,32,-6,https://www.eliteprospects.com/player/285/henrik-zetterberg,2014-2013,nhl,Henrik Zetterberg ,C
25,Nikita Kucherov (RW),Tampa Bay Lightning,82,29,36,65,0.79,37,38,https://www.eliteprospects.com/player/77237/nikita-kucherov,2014-2013,nhl,Nikita Kucherov ,RW
26,Pavel Datsyuk (C),Detroit Red Wings,63,26,39,65,1.03,8,12,https://www.eliteprospects.com/player/8615/pavel-datsyuk,2014-2013,nhl,Pavel Datsyuk ,C
27,Joe Thornton (C),San Jose Sharks,78,16,49,65,0.83,30,-4,https://www.eliteprospects.com/player/3670/joe-thornton,2014-2013,nhl,Joe Thornton ,C
28,Patrick Kane (RW),Chicago Blackhawks,61,27,37,64,1.05,10,10,https://www.eliteprospects.com/player/9326/patrick-kane,2014-2013,nhl,Patrick Kane ,RW
29,Mark Stone (RW),Ottawa Senators,80,26,38,64,0.80,14,21,https://www.eliteprospects.com/player/32806/mark-stone,2014-2013,nhl,Mark Stone ,RW
30,Alexander Steen (LW/RW),St. Louis Blues,74,24,40,64,0.87,33,8,https://www.eliteprospects.com/player/460/alexander-steen,2014-2013,nhl,Alexander Steen ,LW/RW
31,Johnny Gaudreau (LW),Calgary Flames,80,24,40,64,0.80,14,11,https://www.eliteprospects.com/player/88391/johnny-gaudreau,2014-2013,nhl,Johnny Gaudreau ,LW
32,Kyle Turris (C/RW),Ottawa Senators,82,24,40,64,0.78,36,5,https://www.eliteprospects.com/player/11345/kyle-turris,2014-2013,nhl,Kyle Turris ,C/RW
33,Anze Kopitar (C),Los Angeles Kings,79,16,48,64,0.81,10,-2,https://www.eliteprospects.com/player/4233/anze-kopitar,2014-2013,nhl,Anze Kopitar ,C
34,Radim Vrbata (RW),Vancouver Canucks,79,31,32,63,0.80,20,6,https://www.eliteprospects.com/player/8626/radim-vrbata,2014-2013,nhl,Radim Vrbata ,RW
35,Jaden Schwartz (LW),St. Louis Blues,75,28,35,63,0.84,16,13,https://www.eliteprospects.com/player/33907/jaden-schwartz,2014-2013,nhl,Jaden Schwartz ,LW
36,Filip Forsberg (W/C),Nashville Predators,82,26,37,63,0.77,24,15,https://www.eliteprospects.com/player/29626/filip-forsberg,2014-2013,nhl,Filip Forsberg ,W/C
37,Jordan Eberle (RW),Edmonton Oilers,81,24,39,63,0.78,24,-16,https://www.eliteprospects.com/player/11098/jordan-eberle,2014-2013,nhl,Jordan Eberle ,RW
38,Ondrej Palat (LW),Tampa Bay Lightning,75,16,47,63,0.84,24,31,https://www.eliteprospects.com/player/18097/ondrej-palat,2014-2013,nhl,Ondrej Palat ,LW
